doc	group	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	csubj	csubj:pass	det	discourse	fixed	flat	flat:foreign	flat:name	iobj	mark	nmod	nsubj	nsubj:pass	nummod	nummod:gov	obj	obl	orphan	parataxis	xcomp	Non-projective sentences	Non-projectivity	Average out-degree	Max out-degree	Number of communities	Average community size	Average path length	Density	Diameter	MHD	MDD
RU_1_57_1	learner	0.0087968117	0.014852673	0.015991046	0.0363778827	0.1527787896	0.0026455026	0.0022675737	0.0071225071	0.1154145033	0.0483009979	0.0066053412	0	0.0537100334	0.0033446712	0	0	0.0307254782	0.0086387686	0.0118460111	0	0	0	0.00997151	0.0254784258	0.1742086755	0.0824860157	0.003968254	0.0132661783	0.0036630037	0.0322908656	0.1184602795	0	0.0052494331	0.0115387676	0	0	0.9475265588	3.8095238095	4.7619047619	4.5465041572	2.7988390284	0.0524734412	6.8095238095	4.0563948021	1.2113093513
RU_1_45_1	learner	0.0138441341	0.0502413847	0.0259468045	0.0658873853	0.1219661421	0.0023809524	0.0068027211	0.0050125313	0.0950040899	0.0438380046	0.0054421769	0	0.048402729	0.0124761016	0.010430839	0	0.048800288	0.0106409651	0.0113756614	0	0	0	0.0066559957	0.0284205213	0.0712287197	0.1181945627	0	0	0.0108293823	0.0579210818	0.1074292218	0	0	0.0208276039	0	0	0.9510535236	4	4.6190476191	4.7047619048	3.1197749982	0.0489464764	7.7142857143	4.4759326086	0.9744431541
RU_1_88_1	learner	0.0176776927	0.0118843425	0.0152754528	0.0435337212	0.1582716811	0.0032194998	0.0012460161	0.0017065304	0.1126259981	0.0286287726	0.0045697307	0.0005669326	0.0326447238	0.0016817422	0.0034611488	0	0.0323988047	0.0072562772	0.0168738625	0	0.0011706102	0	0.0067009263	0.0327864661	0.1931429471	0.0829275443	0.0089211587	0.0059324307	0.0039009211	0.0324607638	0.1054404674	0	0.0224953844	0.01059745	0.0273972603	0.0026145114	0.9252928875	3.5525114155	4.0502283105	4.3209212148	2.5910812087	0.0747071125	6.1324200913	3.760204324	1.1177131293
RU_1_76_1	learner	0.0169692989	0.0094170535	0.007060689	0.0339626759	0.095112389	0.0164644179	0.0041322314	0.0041322314	0.1275656434	0.0394865545	0.015712318	0	0.0391386783	0	0.0037878788	0	0.0355905793	0	0.0031712474	0	0	0	0.0018181818	0.0238968768	0.1981549236	0.0858249896	0.0032467532	0.0206687453	0	0.0502116467	0.1411411615	0	0.009738292	0.0135945427	0.0454545455	0.0053475936	0.9291843703	3.5454545455	4.2272727273	4.0238636364	2.4101110183	0.0708156297	5.5909090909	3.5015772149	1.1151550178
RU_1_147_1	learner	0.0153122825	0.0193451272	0.0192741938	0.0406851866	0.1375439641	0.0043619162	0.0014104311	0.003757244	0.1082474949	0.0419969111	0.0076241087	0.0010289219	0.0601121361	0.0053809804	0.0018135945	0	0.027229625	0.0071824333	0.0126677456	0.0004971095	0	0.0066805848	0.0091948105	0.0312541377	0.1476737792	0.0895543661	0.0085773138	0.0079491624	0.002474643	0.0532614014	0.098117382	0	0.0196277282	0.0101632844	0.0333333333	0.0019006132	0.947349511	3.8583333333	4.7055555556	4.7981536596	2.9363275745	0.052650489	7.2194444444	4.2560549738	1.1941760304
RU_6_2_1	learner	0.0129451567	0.0016025641	0.0361581668	0.0509277527	0.1088812716	0.0236111111	0	0.0058113183	0.100522688	0.0347205584	0	0	0.0453206065	0	0	0	0.0213637806	0.0135934454	0.028998779	0	0	0.0208333333	0.0075887654	0.0481184489	0.1440555799	0.1064778118	0.0075834253	0.0109459984	0.0082930757	0.0431448924	0.1111699325	0	0	0.0073315372	0.0416666667	0.002688172	0.9292036316	3.9583333333	4.0416666667	4.5048611111	2.4091073078	0.0707963684	5.5	3.5141002449	1.2296874387
RU_1_47_1	learner	0.0160584692	0.0046296296	0.0206540574	0.0312393287	0.117428772	0.0204530088	0	0.0200231481	0.1325436076	0.0303038643	0.0028735632	0	0.047621872	0	0.0052083333	0	0.0536833936	0.007154213	0.016073132	0	0	0.0028735632	0.0052083333	0.022866245	0.0867817181	0.0832572553	0	0.0902607623	0.0078378378	0.045345277	0.0958122783	0	0.024938122	0.0088702148	0	0	0.9507806343	4.3333333333	4.75	4.6323412698	2.48656298	0.0492193657	6	3.5804562957	1.4690728007
RU_1_175_1	learner	0.013761066	0.0054238571	0.0111875091	0.1016050359	0.1138935637	0.0016447368	0	0	0.0867185525	0.0486800308	0.0249534227	0	0.032944575	0.00390625	0.0093671086	0	0.0426929405	0.0287801589	0.0252082728	0	0.0055147059	0.0016447368	0.0133455216	0.040622591	0.0949126073	0.1095836215	0.0033137299	0.0058389824	0.0011574074	0.0370791398	0.0748137877	0	0.0411314814	0.0202746067	0.0625	0.0061737805	0.9264265402	4.15625	3.84375	4.5421875	2.4443262523	0.0735734598	5.6875	3.528760172	1.2757473683
RU_1_244_1	learner	0.0356408867	0.0343120436	0.0040257649	0.0697816139	0.0977994589	0.0140786749	0	0	0.1058528759	0.0323920024	0.017009639	0.0027777778	0.024325524	0.002173913	0.0077564103	0	0.0241273845	0.024284188	0.0190980392	0.0018518519	0	0.0083333333	0.0068642534	0.0310859719	0.1022012074	0.1269235377	0.0046130952	0.0138773148	0.002173913	0.0463198939	0.1107934894	0	0.0181363418	0.0113895993	0.15	0.0119483491	0.944179579	3.6	4.6	4.5825	2.8891256349	0.055820421	7.05	4.1963984284	1.3862157409
RU_1_133_1	learner	0.0057142857	0.0156753247	0.0122451112	0.045948993	0.1345763302	0.0128078818	0	0.0049391304	0.1358895312	0.0204413845	0.0017391304	0	0.0227509083	0.0044444444	0.0069848485	0	0.0102964427	0.0135255662	0.0170238095	0	0.0204974922	0	0.0018181818	0.0132467532	0.1807100567	0.0921226209	0.0053571429	0.0392198342	0.0018181818	0.0410497835	0.123284366	0	0.0158724638	0	0.04	0.002	0.932686977	3.76	4.04	4.0771428571	2.3412259593	0.067313023	5.28	3.3363742614	1.1149913487
