doc	group	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	dep	discourse	fixed	flat	flat:foreign	flat:name	iobj	mark	nmod	nsubj	nsubj:pass	nummod	nummod:entity	nummod:gov	obj	obl	obl:agent	orphan	parataxis	xcomp	Non-projective sentences	Non-projectivity	Average out-degree	Max out-degree	Number of communities	Average community size	Average path length	Density	Diameter	MHD	MDD
RU_1_57_1	learners	0	0.0134921288	0.0171193246	0.0689092291	0.1947968795	0	0.0022675737	0.0071225071	0.1154145033	0.0571362896	0	0	0.056513579	0.0065367173	0.001984127	0.0023953824	0.0104030097	0	0	0	0	0.0166431341	0.1875859067	0.0765660098	0.003968254	0.0132661783	0	0.0094831095	0.0322908656	0.0923644817	0	0	0.0037559266	0.0099848828	0	0	0.9475265588	3.9047619048	4.6666666667	4.6433621934	2.6613574909	0.0524734412	6.380952381	3.8352941498	1.2440811312
RU_1_45_1	learners	0.0023809524	0.0506110978	0.0319384319	0.0830793829	0.1605980606	0	0.0049886621	0.0050125313	0.0973850423	0.0496377604	0	0	0.046218957	0.0300199702	0.0140218406	0	0.0042328042	0	0	0	0	0.0226207655	0.0908862829	0.1265052299	0	0	0	0.0108293823	0.0669246833	0.0804869077	0	0	0.0023809524	0.0192403023	0.0952380952	0.0170308123	0.9510535236	4	4.7619047619	4.5964852608	3.1166847486	0.0489464764	7.7619047619	4.4669598394	1.0318098278
RU_1_88_1	learners	0.0011317789	0.0122838896	0.0200689429	0.0677945093	0.2008730792	0.0026942389	0.0012460161	0.0014890918	0.1129125054	0.0423048939	0	0.0006257399	0.0303591352	0.0036942044	0.0047890536	0.0012430238	0.01541238	0	0.0011706102	0	0.0001902588	0.0183852843	0.2055342267	0.0835436207	0.0087079395	0.0059324307	0	0.0045773967	0.0350219412	0.0811330635	0.0027880912	0.0004029009	0.0257045752	0.0079851778	0.0547945205	0.0049341045	0.9252928875	3.6392694064	3.99543379	4.3985032978	2.5520903968	0.0747071125	6.0547945206	3.6898846852	1.1068942888
RU_1_76_1	learners	0.0041322314	0.0094170535	0.0245068459	0.0555420288	0.1506852318	0.0121990754	0.0041322314	0.0041322314	0.1276914866	0.0438407275	0	0	0.0391890156	0.0010822511	0.0045454545	0	0.0032467532	0	0	0.0053475936	0	0.0185862959	0.1934175163	0.0869894089	0.0032467532	0.0206939139	0	0	0.0529357808	0.0995590288	0.0056277056	0	0.015658842	0.0135945427	0.0454545455	0.003030303	0.9291614135	3.7272727273	3.8636363636	4.5237373737	2.4003473477	0.0708385865	5.5909090909	3.4646552022	1.1070131216
RU_1_147_1	learners	0.0011756131	0.0189010292	0.0242214952	0.0622379085	0.1810933735	0.0020151375	0.0014065241	0.0037117484	0.1071829057	0.0521409591	0.0002710984	0.0005666946	0.0587414166	0.0069569434	0.0037247078	0.0004812475	0.0130301571	0	0	0.0072418962	0.0001065417	0.0197384649	0.1485104651	0.0915554839	0.0072456507	0.0071469431	0	0.0026251239	0.0541275746	0.0870865321	0.0041568036	0	0.023370494	0.0092290666	0.0498614958	0.0024537429	0.9473108472	4.0304709141	4.728531856	4.8294846966	2.8826232533	0.0526891528	7.0997229917	4.1711809206	1.1925441259
RU_6_2_1	learners	0	0.0016025641	0.0361759731	0.0796450041	0.1295328014	0.0263888889	0	0.0058113183	0.0970504658	0.0540162681	0	0	0.0402280139	0.0049189815	0.0207018098	0	0.0174247049	0	0	0.0208333333	0	0.0312737196	0.1544641729	0.0978558782	0.0075834253	0.0109459984	0	0.0082930757	0.0427390482	0.1051830173	0	0	0	0.0073315372	0.125	0.0136183261	0.9292036316	3.875	3.9583333333	4.4895833333	2.4220217539	0.0707963684	5.625	3.5078004704	1.1873607064
RU_1_47_1	learners	0	0.0046296296	0.018897991	0.0595130379	0.1887579363	0.0126774848	0	0.0200231481	0.1325436076	0.0336185235	0	0	0.0525122224	0	0	0	0.016073132	0	0	0	0	0.0139960302	0.0998704965	0.0913391518	0	0.0902607623	0	0.0078378378	0.0502472378	0.0811689575	0.0022522523	0	0.0198123066	0.003968254	0	0	0.9507806343	4.25	4.75	4.6365079365	2.570295945	0.0492193657	6	3.7108222304	1.365801165
RU_1_175_1	learners	0	0.0054238571	0.0363086179	0.1366367226	0.1729185806	0.0016447368	0	0	0.0867185525	0.0592124382	0.001953125	0	0.0226181571	0.0120712903	0.0064670139	0.0041996047	0.0252082728	0	0.0055147059	0.0016447368	0	0.0300901836	0.1133201247	0.1144423914	0.0033137299	0.0058389824	0	0.0011574074	0.0356586853	0.0543284607	0	0	0.0465072378	0.0168023844	0.0625	0.0069169207	0.9264265402	4.1875	3.8125	4.4994791667	2.4076031053	0.0735734598	5.59375	3.4428396207	1.221008535
RU_1_244_1	learners	0.0017636684	0.0256747762	0.0346034408	0.0912765513	0.1488054517	0.0095742001	0	0	0.1100989634	0.0281117289	0	0.0018315018	0.0242297821	0.0020703934	0	0	0.0170245876	0	0	0.0079365079	0	0.03045882	0.1227750834	0.1376229447	0.0044145318	0.014048515	0	0.0020703934	0.0462569989	0.0984531886	0	0	0.0282192314	0.0126787393	0.1428571429	0.0105687499	0.9418433617	3.7619047619	4.4285714286	4.5329365079	2.7876713052	0.0581566383	6.7142857143	4.0128225151	1.2743519739
RU_1_133_1	learners	0.0028571429	0.0128181818	0.0093879684	0.0822809085	0.1477299158	0.0073142857	0	0.0049391304	0.1358895312	0.0261556702	0	0	0.029026233	0.0044444444	0.004	0	0.0170238095	0	0.0179974922	0	0	0.0046753247	0.1927511822	0.0964408028	0.0055238095	0.0392198342	0	0.0018181818	0.0435497835	0.0958654627	0	0	0.0165517741	0.0017391304	0.04	0.002	0.932686977	3.76	3.92	4.1984761905	2.3245095098	0.067313023	5.24	3.3080317054	1.1152480775
