Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0633112057862 	 0.243521861458 	 10093
Non-projective arcs 	 0.0168790282211 	 0.0884944504438 	 10093
Average out-degree 	 0.934864456474 	 0.0482691410049 	 10093
Max out-degree 	 4.10413157634 	 1.28205680203 	 10093
Number of communities 	 4.42980283365 	 1.68238775117 	 10093
Average community size 	 4.40338308581 	 1.41453331809 	 10093
Average path length 	 2.6347883899 	 0.744062899072 	 10093
Density 	 0.0651355435264 	 0.0482691410049 	 10093
Diameter 	 6.17764787476 	 2.42118357993 	 10093
acl	 0.00140282187043 	 0.00921419488042 	 10093
acl:relcl	 0.00805361361174 	 0.0189548155372 	 10093
advcl	 0.0193309581977 	 0.0298558825386 	 10093
advmod	 0.0657285933563 	 0.0714966266947 	 10093
amod	 0.115454636352 	 0.0795741948792 	 10093
appos	 0.00419588105609 	 0.0188640367914 	 10093
aux	 0.00279579512657 	 0.0139738052347 	 10093
aux:pass	 0.00279714159374 	 0.0131941720641 	 10093
case	 0.0846884730341 	 0.0603303195319 	 10093
cc	 0.0378805134093 	 0.0439906427633 	 10093
ccomp	 0.000622626842125 	 0.00646079712572 	 10093
clf	 0.0 	 0.0 	 10093
compound	 0.000337445298604 	 0.00451708877113 	 10093
conj	 0.0369288825052 	 0.0461395723875 	 10093
cop	 0.00688697597308 	 0.0220525442162 	 10093
csubj	 0.0 	 0.0 	 10093
dep	 0.00509099828374 	 0.0181512031381 	 10093
det	 0.0 	 0.0 	 10093
discourse	 0.000410161722536 	 0.00500669517816 	 10093
dislocated	 0.0 	 0.0 	 10093
expl	 0.0 	 0.0 	 10093
fixed	 0.00937654345344 	 0.0274902129092 	 10093
flat	 1.33647191014e-05 	 0.000844875331421 	 10093
flat:foreign	 0.00450647788348 	 0.0393950096222 	 10093
flat:name	 0.00245023855944 	 0.0144935650699 	 10093
goeswith	 0.0 	 0.0 	 10093
iobj	 0.0003316962454 	 0.00613843452544 	 10093
list	 0.0 	 0.0 	 10093
mark	 0.0166392269302 	 0.0280555031186 	 10093
nmod	 0.105190098127 	 0.0867869652469 	 10093
nsubj	 0.0806464331736 	 0.0510382320508 	 10093
nsubj:pass	 0.00436009698126 	 0.0178051018927 	 10093
nummod	 0.0115755147326 	 0.0321994927794 	 10093
nummod:entity	 9.67195557506e-06 	 0.000687219640397 	 10093
nummod:gov	 0.00379159206391 	 0.0161035806148 	 10093
obj	 0.0367676747958 	 0.0466719085072 	 10093
obl	 0.0659377706429 	 0.0553852978463 	 10093
obl:agent	 0.00114943562554 	 0.00769269100489 	 10093
orphan	 0.00027140324712 	 0.0063578478897 	 10093
parataxis	 0.0146742533604 	 0.0290994509902 	 10093
punct	 0.165859359232 	 0.0756583842627 	 10093
reparandum	 0.0 	 0.0 	 10093
root	 0.07311483404 	 0.0673754154555 	 10093
vocative	 0.0 	 0.0 	 10093
xcomp	 0.0107287959971 	 0.0260398130924 	 10093
