Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0633112057862 	 0.243521861458 	 10093
Non-projective arcs 	 0.0168790282211 	 0.0884944504438 	 10093
Average out-degree 	 0.934864456474 	 0.0482691410049 	 10093
Max out-degree 	 4.10413157634 	 1.28205680203 	 10093
Number of communities 	 4.42980283365 	 1.68238775117 	 10093
Average community size 	 4.40338308581 	 1.41453331809 	 10093
Average path length 	 2.6347883899 	 0.744062899072 	 10093
Density 	 0.0651355435264 	 0.0482691410049 	 10093
Diameter 	 6.17764787476 	 2.42118357993 	 10093
acl	 0.00143409752401 	 0.00938661027278 	 10093
advcl	 0.0197282830069 	 0.0303894780733 	 10093
advmod	 0.0673278417405 	 0.0729144245572 	 10093
amod	 0.118497315456 	 0.0812834816303 	 10093
appos	 0.00442094653541 	 0.0201563100033 	 10093
aux	 0.00285204705613 	 0.0142079609256 	 10093
case	 0.0870394514794 	 0.0619190600907 	 10093
cc	 0.0387859297571 	 0.044887638197 	 10093
ccomp	 0.000633601540177 	 0.00654358637935 	 10093
clf	 0.0 	 0.0 	 10093
compound	 0.000350757675428 	 0.00465751456399 	 10093
conj	 0.0378731799596 	 0.0471893407318 	 10093
cop	 0.00704179916956 	 0.0225154583326 	 10093
csubj	 0.0 	 0.0 	 10093
dep	 0.00522890014781 	 0.018731426658 	 10093
det	 0.0 	 0.0 	 10093
discourse	 0.000420440553999 	 0.00512531439655 	 10093
dislocated	 0.0 	 0.0 	 10093
expl	 0.0 	 0.0 	 10093
fixed	 0.00961800499034 	 0.0281170573373 	 10093
flat	 1.4898077912e-05 	 0.000956697477323 	 10093
goeswith	 0.0 	 0.0 	 10093
iobj	 0.000339461495702 	 0.00623926393678 	 10093
list	 0.0 	 0.0 	 10093
mark	 0.0169852970516 	 0.0285736688687 	 10093
nmod	 0.108014224843 	 0.0888787022577 	 10093
nsubj	 0.082729203086 	 0.052190919152 	 10093
nummod	 0.0119984993863 	 0.0334220865474 	 10093
obj	 0.0376218249556 	 0.0475292977785 	 10093
obl	 0.0679881066369 	 0.0572246693943 	 10093
orphan	 0.000278075134631 	 0.0064528373277 	 10093
parataxis	 0.015092049488 	 0.0299431091502 	 10093
punct	 0.171379452082 	 0.0798068382639 	 10093
reparandum	 0.0 	 0.0 	 10093
root	 0.0753025239378 	 0.0690487120583 	 10093
vocative	 0.0 	 0.0 	 10093
xcomp	 0.011003787232 	 0.0266532070228 	 10093
