Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0734152874116 	 0.260816953026 	 14561
Non-projective arcs 	 0.0195220240706 	 0.0950642395913 	 14561
Average out-degree 	 0.94075498055 	 0.0416305061912 	 14561
Max out-degree 	 4.29338644324 	 1.26992472969 	 14561
Number of communities 	 4.66767392349 	 1.74035500042 	 14561
Average community size 	 4.54640185424 	 1.52353513453 	 14561
Average path length 	 2.66865024199 	 0.722056032299 	 14561
Density 	 0.0592450194501 	 0.0416305061912 	 14561
Diameter 	 6.32875489321 	 2.3829403402 	 14561
acl	 0.00162459500226 	 0.00914252864147 	 14561
acl:relcl	 0.00717897373276 	 0.0169633170156 	 14561
advcl	 0.0187867245947 	 0.0285871632555 	 14561
advmod	 0.0690246573806 	 0.0707057625546 	 14561
amod	 0.114423049422 	 0.0769439005484 	 14561
appos	 0.00503103982967 	 0.0184124954401 	 14561
aux	 0.00241518614009 	 0.0128127736853 	 14561
aux:pass	 0.00182248351173 	 0.0102665049163 	 14561
case	 0.0901039848561 	 0.0603746521279 	 14561
cc	 0.0386466982419 	 0.0432858789786 	 14561
ccomp	 0.000626521511272 	 0.00605779245485 	 14561
clf	 0.0 	 0.0 	 14561
compound	 0.000237707962328 	 0.00337448147549 	 14561
conj	 0.0379233459282 	 0.0447250884657 	 14561
cop	 0.00661317067527 	 0.0220164943067 	 14561
csubj	 0.0 	 0.0 	 14561
dep	 0.00404787326237 	 0.0150760085491 	 14561
det	 0.0 	 0.0 	 14561
discourse	 0.000390029941502 	 0.00461292198381 	 14561
dislocated	 0.0 	 0.0 	 14561
expl	 6.33623410218e-06 	 0.000616569729199 	 14561
fixed	 0.00848622191801 	 0.0251395972311 	 14561
flat	 9.2859294211e-06 	 0.000692330445428 	 14561
flat:foreign	 0.00829314090631 	 0.0335592600031 	 14561
flat:name	 0.00326670248755 	 0.0139585835335 	 14561
goeswith	 0.0 	 0.0 	 14561
iobj	 0.000191184705145 	 0.00336091651943 	 14561
list	 0.0 	 0.0 	 14561
mark	 0.0163780286339 	 0.02696300687 	 14561
nmod	 0.0994011069209 	 0.0799834277814 	 14561
nsubj	 0.0833898218738 	 0.0486855293424 	 14561
nsubj:pass	 0.00306263607051 	 0.014787035994 	 14561
nummod	 0.0103940866591 	 0.028784290377 	 14561
nummod:entity	 1.04859087995e-05 	 0.000690544548761 	 14561
nummod:gov	 0.00396104787785 	 0.0158548046573 	 14561
obj	 0.0347167862139 	 0.0433070151233 	 14561
obl	 0.0715493690523 	 0.0555137258179 	 14561
obl:agent	 0.00107275942346 	 0.00742299881565 	 14561
orphan	 0.000231177538793 	 0.00504375751555 	 14561
parataxis	 0.0156551469257 	 0.028840073729 	 14561
punct	 0.164797523788 	 0.0705343208991 	 14561
reparandum	 0.0 	 0.0 	 14561
root	 0.0654208907097 	 0.0559101001806 	 14561
vocative	 0.0 	 0.0 	 14561
xcomp	 0.0108102182299 	 0.0257155919722 	 14561
