Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0504034644982 	 0.218776039056 	 160485
Non-projective arcs 	 0.014140500607 	 0.0791296950494 	 160485
Average out-degree 	 0.926645599876 	 0.0624872505463 	 160485
Max out-degree 	 3.97753684145 	 1.45248667658 	 160485
Number of communities 	 4.35568433187 	 1.93422518699 	 160485
Average community size 	 4.34813956176 	 1.71105849206 	 160485
Average path length 	 2.59612775404 	 0.813092258888 	 160485
Density 	 0.0733544001237 	 0.0624872505463 	 160485
Diameter 	 6.03581643144 	 2.6457220214 	 160485
acl	 0.00112045909347 	 0.00896650910619 	 160485
acl:relcl	 0.00402330625934 	 0.0135144135021 	 160485
advcl	 0.00958407331935 	 0.0222633607301 	 160485
advmod	 0.0593841511079 	 0.0729676373675 	 160485
amod	 0.115943315604 	 0.0864027168909 	 160485
appos	 0.00578123049637 	 0.0247430440734 	 160485
aux	 0.00116318792209 	 0.00912435453242 	 160485
aux:pass	 0.00224123552427 	 0.0119985085184 	 160485
case	 0.0867998493786 	 0.0643761104174 	 160485
cc	 0.0359283906469 	 0.0452872756465 	 160485
ccomp	 0.000322197421132 	 0.00449983379407 	 160485
clf	 0.0 	 0.0 	 160485
compound	 0.000820161879806 	 0.00699874967263 	 160485
conj	 0.044526415416 	 0.0544491956246 	 160485
cop	 0.00455535789005 	 0.0194228203454 	 160485
csubj	 0.0 	 0.0 	 160485
dep	 0.00293681023224 	 0.0133657173487 	 160485
det	 0.0 	 0.0 	 160485
discourse	 0.000363431148131 	 0.00450121443707 	 160485
dislocated	 0.0 	 0.0 	 160485
expl	 2.4220862617e-06 	 0.000491842045478 	 160485
fixed	 0.0067904742289 	 0.023143770596 	 160485
flat	 2.39205584216e-06 	 0.000344110018584 	 160485
flat:foreign	 0.00448480233311 	 0.0373474470266 	 160485
flat:name	 0.0059537249938 	 0.0324274178425 	 160485
goeswith	 0.0 	 0.0 	 160485
iobj	 0.000317749314311 	 0.00548020930316 	 160485
list	 0.0 	 0.0 	 160485
mark	 0.00778614487312 	 0.0201698374556 	 160485
nmod	 0.117120308629 	 0.100467127219 	 160485
nsubj	 0.0598659463687 	 0.0519514519441 	 160485
nsubj:pass	 0.00638680659588 	 0.0218747782436 	 160485
nummod	 0.0202987794616 	 0.0509988192992 	 160485
nummod:entity	 2.86358216031e-05 	 0.0014830645627 	 160485
nummod:gov	 0.00358082856889 	 0.0169043998759 	 160485
obj	 0.0251399460062 	 0.0409799824044 	 160485
obl	 0.0629282852566 	 0.0589321409498 	 160485
obl:agent	 0.00149088026707 	 0.0096000956934 	 160485
orphan	 0.000826058562861 	 0.0105685179954 	 160485
parataxis	 0.0198398513051 	 0.0344970234648 	 160485
punct	 0.1898688505 	 0.108163432976 	 160485
reparandum	 0.0 	 0.0 	 160485
root	 0.0854911473294 	 0.0957425951463 	 160485
vocative	 0.0 	 0.0 	 160485
xcomp	 0.0063023921025 	 0.0209989924184 	 160485
