Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0504034644982 	 0.218776039056 	 160485
Non-projective arcs 	 0.014140500607 	 0.0791296950494 	 160485
Average out-degree 	 0.926645599876 	 0.0624872505463 	 160485
Max out-degree 	 3.97753684145 	 1.45248667658 	 160485
Number of communities 	 4.35568433187 	 1.93422518699 	 160485
Average community size 	 4.34813956176 	 1.71105849206 	 160485
Average path length 	 2.59612775404 	 0.813092258888 	 160485
Density 	 0.0733544001237 	 0.0624872505463 	 160485
Diameter 	 6.03581643144 	 2.6457220214 	 160485
acl	 0.00114177817658 	 0.0091069163954 	 160485
advcl	 0.00976327836658 	 0.022637243285 	 160485
advmod	 0.0607467358451 	 0.0744079596774 	 160485
amod	 0.119175560451 	 0.0886427156688 	 160485
appos	 0.00626159940476 	 0.027685009046 	 160485
aux	 0.00118252996316 	 0.0092428232363 	 160485
case	 0.0892032624734 	 0.0660865089513 	 160485
cc	 0.036748484666 	 0.0461554957137 	 160485
ccomp	 0.000329281489468 	 0.00459448379679 	 160485
clf	 0.0 	 0.0 	 160485
compound	 0.000842058618683 	 0.00716903944518 	 160485
conj	 0.0456932445023 	 0.0559168363361 	 160485
cop	 0.00464412570002 	 0.0197577135797 	 160485
csubj	 0.0 	 0.0 	 160485
dep	 0.00300315368317 	 0.0136478365259 	 160485
det	 0.0 	 0.0 	 160485
discourse	 0.000372576135208 	 0.00461419546284 	 160485
dislocated	 0.0 	 0.0 	 160485
expl	 2.4220862617e-06 	 0.000491842045478 	 160485
fixed	 0.00695566271633 	 0.0236808003286 	 160485
flat	 2.63931866912e-06 	 0.000382719967307 	 160485
goeswith	 0.0 	 0.0 	 160485
iobj	 0.000331480765688 	 0.0057296192873 	 160485
list	 0.0 	 0.0 	 160485
mark	 0.00794488513196 	 0.0205470532451 	 160485
nmod	 0.120509836836 	 0.103230718125 	 160485
nsubj	 0.0613029063034 	 0.0531752575458 	 160485
nummod	 0.0210190242985 	 0.0525789492585 	 160485
obj	 0.0256237945258 	 0.0416152071337 	 160485
obl	 0.0648173524246 	 0.0607556944608 	 160485
orphan	 0.000847357452277 	 0.0108327586499 	 160485
parataxis	 0.0204389889019 	 0.0358281468097 	 160485
punct	 0.195704435288 	 0.111815051815 	 160485
reparandum	 0.0 	 0.0 	 160485
root	 0.0889719161347 	 0.103153842916 	 160485
vocative	 0.0 	 0.0 	 160485
xcomp	 0.00641962834116 	 0.0213026628014 	 160485
