Feature	rnc_media_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0504034644982 	 0.0734152874116 	 10.3222149087 	 6.65967259181e-25
Non-projective arcs 	 0.014140500607000001 	 0.0195220240706 	 6.62589928628 	 3.55855905681e-11
Average out-degree 	 0.926645599876 	 0.9407549805500001 	 37.2652029122 	 2.12122700136e-294
Max out-degree 	 3.9775368414499996 	 4.29338644324 	 28.37543276 	 2.37598449498e-173
Number of communities 	 4.35568433187 	 4.667673923490001 	 20.513109973 	 1.87708605715e-92
Average community size 	 4.34813956176 	 4.54640185424 	 14.8749226558 	 9.4487817724e-50
Average path length 	 2.5961277540400003 	 2.66865024199 	 11.477566349 	 2.17940348724e-30
Density 	 0.0733544001237 	 0.0592450194501 	 -37.2652029111 	 2.12122707977e-294
Diameter 	 6.035816431440001 	 6.32875489321 	 14.0681370519 	 1.02939366155e-44
acl	 0.00112045909347 	 0.00162459500226 	 6.38128239774 	 1.80098734795e-10
acl:relcl	 0.00402330625934 	 0.00717897373276 	 21.8281969614 	 3.88331853857e-104
advcl	 0.00958407331935 	 0.018786724594700002 	 37.8185774998 	 5.24503923227e-300
advmod	 0.059384151107900005 	 0.0690246573806 	 15.7112507213 	 3.02191616554e-55
amod	 0.115943315604 	 0.11442304942199999 	 -2.25849212028 	 0.0239268736799
appos	 0.00578123049637 	 0.0050310398296699995 	 -4.55729051857 	 5.21293456797e-06
aux	 0.0011631879220899998 	 0.00241518614009 	 11.5288965722 	 1.24818468126e-30
aux:pass	 0.00224123552427 	 0.0018224835117300001 	 -4.6425953344 	 3.46440287569e-06
case	 0.08679984937860001 	 0.09010398485610001 	 6.28753224932 	 3.30103889776e-10
cc	 0.0359283906469 	 0.0386466982419 	 7.22747835231 	 5.12226595464e-13
ccomp	 0.000322197421132 	 0.000626521511272 	 5.91574940477 	 3.37083742313e-09
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.0008201618798060001 	 0.00023770796232799998 	 -17.6643622888 	 1.89441952835e-69
conj	 0.044526415416 	 0.0379233459282 	 -16.7260368333 	 2.40314724748e-62
cop	 0.00455535789005 	 0.006613170675270001 	 10.9002642685 	 1.42361533499e-27
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.00293681023224 	 0.00404787326237 	 8.59191042398 	 9.29854987209e-18
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00036343114813100003 	 0.000390029941502 	 0.66755726812 	 0.504425212804
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 2.4220862617e-06 	 6.33623410218e-06 	 0.744838414601 	 0.45638015762
fixed	 0.006790474228899999 	 0.00848622191801 	 7.84352839278 	 4.64096999782e-15
flat	 2.39205584216e-06 	 9.2859294211e-06 	 1.18831624776 	 0.234727381446
flat:foreign	 0.00448480233311 	 0.00829314090631 	 12.9835653407 	 2.25557474442e-38
flat:name	 0.0059537249938 	 0.00326670248755 	 -19.0318625614 	 2.61515080078e-80
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.000317749314311 	 0.000191184705145 	 -4.07871734987 	 4.54420038428e-05
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.00778614487312 	 0.0163780286339 	 37.511239093 	 2.76418857906e-295
nmod	 0.117120308629 	 0.09940110692089998 	 -25.0027221423 	 8.91233511922e-136
nsubj	 0.0598659463687 	 0.0833898218738 	 55.507968406 	 0.0
nsubj:pass	 0.006386806595880001 	 0.00306263607051 	 -24.7781398431 	 1.3198422072e-133
nummod	 0.020298779461599997 	 0.0103940866591 	 -36.6319841676 	 7.22147912452e-286
nummod:entity	 2.86358216031e-05 	 1.04859087995e-05 	 -2.66295646634 	 0.00775004355067
nummod:gov	 0.00358082856889 	 0.00396104787785 	 2.755200532 	 0.00587161228478
obj	 0.025139946006200002 	 0.0347167862139 	 25.66244416 	 1.56352448748e-142
obl	 0.06292828525659999 	 0.0715493690523 	 17.8491348592 	 1.2238475505e-70
obl:agent	 0.0014908802670699998 	 0.00107275942346 	 -6.33340956212 	 2.45103968199e-10
orphan	 0.0008260585628610001 	 0.000231177538793 	 -12.03543814 	 2.79492812819e-33
parataxis	 0.0198398513051 	 0.0156551469257 	 -16.4725264076 	 1.5550156489e-60
punct	 0.18986885050000002 	 0.164797523788 	 -38.9383250133 	 0.0
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0854911473294 	 0.0654208907097 	 -38.4973091472 	 0.0
vocative	 0.0 	 0.0 	 nan 	 nan
xcomp	 0.0063023921025 	 0.0108102182299 	 20.5404874252 	 1.37292421543e-92
