Feature	syntagrus_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.09177694923589999 	 0.0633112057862 	 -10.3370222035 	 5.70976521582e-25
Non-projective arcs 	 0.0305084649487 	 0.0168790282211 	 -12.9657464584 	 2.7434387232e-38
Average out-degree 	 0.924409545833 	 0.9348644564740001 	 19.4819154324 	 1.55412326633e-83
Max out-degree 	 4.0865325521399996 	 4.10413157634 	 1.23584491211 	 0.216534998239
Number of communities 	 4.04340967755 	 4.42980283365 	 21.0174827805 	 1.23699148135e-96
Average community size 	 4.23136075565 	 4.40338308581 	 11.0402086422 	 3.14102565576e-28
Average path length 	 2.4067123452200003 	 2.6347883899 	 28.874936683 	 9.37650177596e-178
Density 	 0.0755904541669 	 0.0651355435264 	 -19.4819154314 	 1.55412329395e-83
Diameter 	 5.42256319908 	 6.17764787476 	 29.3188483066 	 4.52090121637e-183
acl	 0.0017892128703399998 	 0.00140282187043 	 -3.67354446333 	 0.000239938670997
acl:relcl	 0.00482387634258 	 0.00805361361174 	 16.0868501494 	 1.14767228191e-57
advcl	 0.012754724645400001 	 0.0193309581977 	 20.5951560116 	 8.27823462669e-93
advmod	 0.0743790436001 	 0.0657285933563 	 -10.7936990706 	 4.56960319899e-27
amod	 0.10242262345 	 0.115454636352 	 14.8443547647 	 1.69284370137e-49
appos	 0.0070312353655800006 	 0.00419588105609 	 -12.7004942421 	 8.22409989694e-37
aux	 0.0020514238101 	 0.0027957951265700004 	 4.94703193548 	 7.62451602122e-07
aux:pass	 0.00223875816397 	 0.00279714159374 	 3.89506844346 	 9.86202646673e-05
case	 0.0852771428421 	 0.08468847303410001 	 -0.877331433874 	 0.380320214
cc	 0.0380188825397 	 0.0378805134093 	 -0.280298935168 	 0.779251778273
ccomp	 0.000762304741795 	 0.000622626842125 	 -1.94075173265 	 0.052306360084
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.000681715238097 	 0.00033744529860400005 	 -6.38840502809 	 1.71312459701e-10
conj	 0.036996079945 	 0.036928882505199996 	 -0.130691036197 	 0.896021403738
cop	 0.00753217586031 	 0.006886975973079999 	 -2.58352945138 	 0.00978797341437
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.003395735617 	 0.00509099828374 	 8.76264760315 	 2.13754112619e-18
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.000392550966089 	 0.00041016172253600003 	 0.322658027799 	 0.746958926354
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 3.94490054899e-05 	 0.0 	 nan 	 nan
fixed	 0.00758296532201 	 0.00937654345344 	 6.01503757884 	 1.8428502931e-09
flat	 8.71810318449e-05 	 1.33647191014e-05 	 -4.86551025936 	 1.14494669632e-06
flat:foreign	 0.00163786910373 	 0.00450647788348 	 7.19039852324 	 6.88715414186e-13
flat:name	 0.00400646939595 	 0.00245023855944 	 -9.33421401779 	 1.13571894317e-20
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00169227115833 	 0.0003316962454 	 -15.9461520248 	 5.00124936766e-57
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.0104213690351 	 0.0166392269302 	 20.8072000908 	 1.22931998726e-94
nmod	 0.0899899732654 	 0.105190098127 	 15.9989360595 	 3.96461831031e-57
nsubj	 0.0804114967182 	 0.08064643317360001 	 0.412790238713 	 0.679765945588
nsubj:pass	 0.0050856795700900004 	 0.00436009698126 	 -3.60676345342 	 0.000310956899382
nummod	 0.00921117343001 	 0.011575514732600002 	 6.8347862116 	 8.56215592706e-12
nummod:entity	 4.45866867115e-05 	 9.67195557506e-06 	 -3.51047276137 	 0.000447858939285
nummod:gov	 0.00431924325884 	 0.0037915920639099996 	 -2.88360812157 	 0.0039364623075
obj	 0.0307732841926 	 0.0367676747958 	 11.7837107765 	 6.63793176816e-32
obl	 0.0655546086388 	 0.0659377706429 	 0.621235952208 	 0.534453461071
obl:agent	 0.0015382501223699999 	 0.0011494356255399999 	 -4.37668150511 	 1.21184297028e-05
orphan	 0.00189704619515 	 0.00027140324712 	 -15.6812951533 	 2.82861653816e-55
parataxis	 0.0181003108975 	 0.0146742533604 	 -10.4173290821 	 2.47694463113e-25
punct	 0.19324711512499998 	 0.16585935923200001 	 -31.8223213972 	 7.17714384893e-216
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0858394870501 	 0.07311483404 	 -17.0802030097 	 8.38329815195e-65
vocative	 1.87237730891e-05 	 0.0 	 nan 	 nan
xcomp	 0.00795396102576 	 0.010728795997099999 	 9.85939922221 	 7.41506732582e-23
