Feature	syntagrus_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.09177694923589999 	 0.0734152874116 	 -7.26982660165 	 3.70063835812e-13
Non-projective arcs 	 0.0305084649487 	 0.0195220240706 	 -11.2734514711 	 2.02119087023e-29
Average out-degree 	 0.924409545833 	 0.9407549805500001 	 38.943190541 	 0.0
Max out-degree 	 4.0865325521399996 	 4.29338644324 	 16.8506031683 	 2.25777429736e-63
Number of communities 	 4.04340967755 	 4.667673923490001 	 38.3077685016 	 0.0
Average community size 	 4.23136075565 	 4.54640185424 	 22.06032781 	 9.42835224971e-107
Average path length 	 2.4067123452200003 	 2.66865024199 	 39.7867535547 	 0.0
Density 	 0.0755904541669 	 0.0592450194501 	 -38.9431905405 	 0.0
Diameter 	 5.42256319908 	 6.32875489321 	 41.6912932058 	 0.0
acl	 0.0017892128703399998 	 0.00162459500226 	 -1.79701087057 	 0.0723442045557
acl:relcl	 0.00482387634258 	 0.00717897373276 	 15.0545763257 	 5.78840211137e-51
advcl	 0.012754724645400001 	 0.018786724594700002 	 22.8368614765 	 4.12519986073e-114
advmod	 0.0743790436001 	 0.0690246573806 	 -7.73510548868 	 1.06898860126e-14
amod	 0.10242262345 	 0.11442304942199999 	 16.1821599588 	 1.31429324082e-58
appos	 0.0070312353655800006 	 0.0050310398296699995 	 -10.2790729944 	 9.50785284975e-25
aux	 0.0020514238101 	 0.00241518614009 	 3.01378747926 	 0.00258281053274
aux:pass	 0.00223875816397 	 0.0018224835117300001 	 -4.05442571365 	 5.03884411239e-05
case	 0.0852771428421 	 0.09010398485610001 	 8.27890254612 	 1.30252694104e-16
cc	 0.0380188825397 	 0.0386466982419 	 1.47718746359 	 0.139636903068
ccomp	 0.000762304741795 	 0.000626521511272 	 -2.27435377385 	 0.0229523354605
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.000681715238097 	 0.00023770796232799998 	 -10.8828821729 	 1.49847839551e-27
conj	 0.036996079945 	 0.0379233459282 	 2.12270328342 	 0.0337878385683
cop	 0.00753217586031 	 0.006613170675270001 	 -4.21784134047 	 2.47424512492e-05
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.003395735617 	 0.00404787326237 	 4.5664620622 	 4.98469762836e-06
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.000392550966089 	 0.000390029941502 	 -0.0569910538108 	 0.954552772717
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 3.94490054899e-05 	 6.33623410218e-06 	 -3.22849698763 	 0.00124505999454
fixed	 0.00758296532201 	 0.00848622191801 	 3.76875980705 	 0.000164441630114
flat	 8.71810318449e-05 	 9.2859294211e-06 	 -5.61627300299 	 1.95951359339e-08
flat:foreign	 0.00163786910373 	 0.00829314090631 	 23.1371076966 	 1.34936953366e-116
flat:name	 0.00400646939595 	 0.00326670248755 	 -5.18385821913 	 2.18695896678e-07
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00169227115833 	 0.000191184705145 	 -22.8317886235 	 6.5640115559e-115
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.0104213690351 	 0.0163780286339 	 24.06993982 	 2.3879621122e-126
nmod	 0.0899899732654 	 0.09940110692089998 	 12.1932322518 	 4.19304158723e-34
nsubj	 0.0804114967182 	 0.0833898218738 	 6.22900533837 	 4.76229593337e-10
nsubj:pass	 0.0050856795700900004 	 0.00306263607051 	 -13.0377884243 	 9.25483547392e-39
nummod	 0.00921117343001 	 0.0103940866591 	 4.35313933373 	 1.3475924602e-05
nummod:entity	 4.45866867115e-05 	 1.04859087995e-05 	 -3.70142523792 	 0.000214598269883
nummod:gov	 0.00431924325884 	 0.00396104787785 	 -2.26303989104 	 0.02364061521
obj	 0.0307732841926 	 0.0347167862139 	 9.51525838238 	 1.97022759858e-21
obl	 0.0655546086388 	 0.0715493690523 	 11.1680764369 	 6.80008740707e-29
obl:agent	 0.0015382501223699999 	 0.00107275942346 	 -6.10531928042 	 1.03787232516e-09
orphan	 0.00189704619515 	 0.000231177538793 	 -18.0804771361 	 6.93991777097e-73
parataxis	 0.0181003108975 	 0.0156551469257 	 -8.5709980921 	 1.07778492562e-17
punct	 0.19324711512499998 	 0.164797523788 	 -39.6343319117 	 0.0
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0858394870501 	 0.0654208907097 	 -36.0990740914 	 2.08677312127e-279
vocative	 1.87237730891e-05 	 0.0 	 nan 	 nan
xcomp	 0.00795396102576 	 0.0108102182299 	 11.9174621383 	 1.19993163201e-32
