Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0917769492359 	 0.288710825611 	 48814
Non-projective arcs 	 0.0305084649487 	 0.126743726276 	 48814
Average out-degree 	 0.924409545833 	 0.0528158648017 	 48814
Max out-degree 	 4.08653255214 	 1.39627132613 	 48814
Number of communities 	 4.04340967755 	 1.67608348436 	 48814
Average community size 	 4.23136075565 	 1.47441695439 	 48814
Average path length 	 2.40671234522 	 0.606576846732 	 48814
Density 	 0.0755904541669 	 0.0528158648017 	 48814
Diameter 	 5.42256319908 	 2.00640587638 	 48814
acl	 0.00178921287034 	 0.0113764427535 	 48814
acl:relcl	 0.00482387634258 	 0.0151639689459 	 48814
advcl	 0.0127547246454 	 0.0258060669077 	 48814
advmod	 0.0743790436001 	 0.0814278233983 	 48814
amod	 0.10242262345 	 0.0836527060002 	 48814
appos	 0.00703123536558 	 0.0266798489835 	 48814
aux	 0.0020514238101 	 0.0126802398378 	 48814
aux:pass	 0.00223875816397 	 0.0126975119244 	 48814
case	 0.0852771428421 	 0.06613055151 	 48814
cc	 0.0380188825397 	 0.0503596504452 	 48814
ccomp	 0.000762304741795 	 0.00713910106685 	 48814
clf	 0.0 	 0.0 	 48814
compound	 0.000681715238097 	 0.006563423659 	 48814
conj	 0.036996079945 	 0.0510778094267 	 48814
cop	 0.00753217586031 	 0.0263136496601 	 48814
csubj	 0.0 	 0.0 	 48814
dep	 0.003395735617 	 0.0152840204435 	 48814
det	 0.0 	 0.0 	 48814
discourse	 0.000392550966089 	 0.0049175746648 	 48814
dislocated	 0.0 	 0.0 	 48814
expl	 3.94490054899e-05 	 0.00196481479339 	 48814
fixed	 0.00758296532201 	 0.026177184587 	 48814
flat	 8.71810318449e-05 	 0.00278983703584 	 48814
flat:foreign	 0.00163786910373 	 0.0162271693948 	 48814
flat:name	 0.00400646939595 	 0.0184637656709 	 48814
goeswith	 0.0 	 0.0 	 48814
iobj	 0.00169227115833 	 0.0131578553783 	 48814
list	 0.0 	 0.0 	 48814
mark	 0.0104213690351 	 0.02350142689 	 48814
nmod	 0.0899899732654 	 0.0873693476866 	 48814
nsubj	 0.0804114967182 	 0.0566884939445 	 48814
nsubj:pass	 0.00508567957009 	 0.0210303559885 	 48814
nummod	 0.00921117343001 	 0.0287564766742 	 48814
nummod:entity	 4.45866867115e-05 	 0.00159518127733 	 48814
nummod:gov	 0.00431924325884 	 0.0194992683016 	 48814
obj	 0.0307732841926 	 0.0457922570033 	 48814
obl	 0.0655546086388 	 0.0611019743824 	 48814
obl:agent	 0.00153825012237 	 0.00995187571313 	 48814
orphan	 0.00189704619515 	 0.0181412288814 	 48814
parataxis	 0.0181003108975 	 0.0344160822681 	 48814
punct	 0.193247115125 	 0.0920461801349 	 48814
reparandum	 0.0 	 0.0 	 48814
root	 0.0858394870501 	 0.0716791173598 	 48814
vocative	 1.87237730891e-05 	 0.00159242498921 	 48814
xcomp	 0.00795396102576 	 0.024229258857 	 48814
