Feature	Average	Deviation	Observations
Non-projective sentences	 0.0764705882353 	 0.265749576425 	 46750
Non-projective arcs	 0.0356801026562 	 0.169978513301 	 46750
acl	 0.00207325592948 	 0.0130203987379 	 46750
advcl	 0.0149597309942 	 0.030147905059 	 46750
advmod	 0.0722115832596 	 0.0831358148589 	 46750
amod	 0.0999477161991 	 0.0910015330555 	 46750
appos	 0.00802684275496 	 0.0299938507512 	 46750
aux	 0.00237729869555 	 0.0146346311776 	 46750
case	 0.0972638171045 	 0.07567203646 	 46750
cc	 0.0415887005855 	 0.0556480399173 	 46750
ccomp	 0.00088739081309 	 0.00818788028228 	 46750
clf	 0.0 	 0.0 	 46750
compound	 0.00185396120879 	 0.0124243870105 	 46750
conj	 0.0420761009503 	 0.0576099684667 	 46750
cop	 0.00589827596198 	 0.0234035171133 	 46750
csubj	 0.0 	 0.0 	 46750
dep	 0.00471706436439 	 0.0198361200806 	 46750
det	 0.0230428059765 	 0.0438160011955 	 46750
discourse	 0.0 	 0.0 	 46750
dislocated	 0.0 	 0.0 	 46750
expl	 4.19308749432e-05 	 0.00229308069558 	 46750
fixed	 0.0 	 0.0 	 46750
flat	 0.0 	 0.0 	 46750
goeswith	 0.0 	 0.0 	 46750
iobj	 0.00304026072586 	 0.0155900402246 	 46750
list	 0.0 	 0.0 	 46750
mark	 0.0130606382627 	 0.0278458874986 	 46750
nmod	 0.118052913384 	 0.0937442279753 	 46750
nsubj	 0.091529420405 	 0.0650185294636 	 46750
nummod	 0.00891746574817 	 0.0293777334991 	 46750
obj	 0.0 	 0.0 	 46750
obl	 0.0 	 0.0 	 46750
orphan	 0.0 	 0.0 	 46750
parataxis	 0.020940576785 	 0.0388458677511 	 46750
punct	 0.219104741245 	 0.09833455909 	 46750
reparandum	 0.0 	 0.0 	 46750
root	 0.0989964968478 	 0.0792084811223 	 46750
vocative	 0.0 	 0.0 	 46750
xcomp	 0.00939101092404 	 0.0285995077598 	 46750
