Feature	Average	Deviation	Observations
Non-projective sentences 	 0.041014243863 	 0.198323159675 	 9899
Non-projective arcs 	 0.0114074223386 	 0.0681095488298 	 9899
Average out-degree 	 0.926851339987 	 0.0482382757481 	 9899
Max out-degree 	 3.74714617638 	 1.19669321124 	 9899
Number of communities 	 4.06667340135 	 1.5314989371 	 9899
Average community size 	 4.4474590147 	 1.35642149296 	 9899
Average path length 	 2.58661389989 	 0.757431539079 	 9899
Density 	 0.0731486600125 	 0.0482382757481 	 9899
Diameter 	 6.02626527932 	 2.44075514712 	 9899
MHD 	 3.75892763522 	 1.11592552057 	 9899
MDD 	 1.15156957768 	 0.547303489456 	 9899
acl	 0.0130638473554 	 0.0301502953685 	 9899
acl:relcl	 0.0105463894536 	 0.0254646540733 	 9899
advcl	 0.0170843767161 	 0.0337504116367 	 9899
advmod	 0.0603753280749 	 0.0872854483347 	 9899
amod	 0.112742320112 	 0.0988632796846 	 9899
appos	 0.00680084144948 	 0.0325001554237 	 9899
aux	 0.00364603078607 	 0.0187779903573 	 9899
aux:pass	 0.00367833266073 	 0.0184362892888 	 9899
case	 0.108799484568 	 0.0790955048988 	 9899
cc	 0.040804014881 	 0.0574444611989 	 9899
ccomp	 0.00865766834197 	 0.0262846118835 	 9899
compound	 0.000628736253197 	 0.00764110997777 	 9899
conj	 0.0480572764117 	 0.0628760534125 	 9899
cop	 0.00722975988387 	 0.0274074385914 	 9899
csubj	 0.00593058716576 	 0.0256654255228 	 9899
csubj:pass	 6.42272000026e-05 	 0.00210723928587 	 9899
det	 0.0298942018956 	 0.0554666973957 	 9899
discourse	 0.0121062257145 	 0.0383108556565 	 9899
fixed	 0.0124265165894 	 0.0393387301695 	 9899
flat	 0.0005912637054 	 0.00876119469728 	 9899
flat:foreign	 0.00563364810664 	 0.0480778533481 	 9899
flat:name	 0.00332888135516 	 0.0220796849047 	 9899
iobj	 0.00952675075806 	 0.0321593774708 	 9899
mark	 0.031751996015 	 0.0475019845368 	 9899
nmod	 0.124946705848 	 0.110583529448 	 9899
nsubj	 0.10500572649 	 0.0844424962434 	 9899
nsubj:pass	 0.0056789348799 	 0.024710333951 	 9899
nummod	 0.0149935919912 	 0.0443520278688 	 9899
nummod:gov	 0.00508971081542 	 0.0228682289516 	 9899
obj	 0.0488016375083 	 0.0703840654502 	 9899
obl	 0.104571076738 	 0.0804695892091 	 9899
orphan	 0.000203896121434 	 0.00568039022874 	 9899
parataxis	 0.0188654572052 	 0.0431765981046 	 9899
xcomp	 0.0184745569497 	 0.0407781653566 	 9899
