Feature	Average	Deviation	Observations
Non-projective sentences 	 0.045955500104 	 0.209388615054 	 14427
Non-projective arcs 	 0.0116170952346 	 0.0659851891481 	 14427
Average out-degree 	 0.931146219676 	 0.0461636478828 	 14427
Max out-degree 	 3.89270118528 	 1.16473866878 	 14427
Number of communities 	 4.23220350731 	 1.57570709928 	 14427
Average community size 	 4.54540157439 	 1.35329654711 	 14427
Average path length 	 2.6042640509 	 0.717912548956 	 14427
Density 	 0.0688537803241 	 0.0461636478828 	 14427
Diameter 	 6.13287585777 	 2.35758535467 	 14427
MHD 	 3.78082766294 	 1.06936678121 	 14427
MDD 	 1.22759261922 	 0.557179551029 	 14427
acl	 0.0142342705404 	 0.0291028397629 	 14427
acl:relcl	 0.00928217947829 	 0.0228331032312 	 14427
advcl	 0.01472121263 	 0.0294735251449 	 14427
advmod	 0.0620228109605 	 0.0859426673431 	 14427
amod	 0.108313415195 	 0.0939353447599 	 14427
appos	 0.00793701814089 	 0.0315409019139 	 14427
aux	 0.00318386392274 	 0.0188380892676 	 14427
aux:pass	 0.00233340631036 	 0.0135394060099 	 14427
case	 0.114113345889 	 0.0768016327104 	 14427
cc	 0.0426498626656 	 0.0561037211599 	 14427
ccomp	 0.00939907498268 	 0.0254970989932 	 14427
compound	 0.000576881868109 	 0.00626366499317 	 14427
conj	 0.0490210351135 	 0.0617921683641 	 14427
cop	 0.00661884938502 	 0.0267277592215 	 14427
csubj	 0.00613411857788 	 0.0256905793914 	 14427
csubj:pass	 4.75897170295e-05 	 0.00172627185258 	 14427
det	 0.0292070462101 	 0.0495299572399 	 14427
discourse	 0.0136511953336 	 0.0400712544629 	 14427
fixed	 0.0109009735782 	 0.0345180650664 	 14427
flat	 0.000446998303924 	 0.00693248313037 	 14427
flat:foreign	 0.0107835127028 	 0.046434859141 	 14427
flat:name	 0.00413305926352 	 0.0183704470425 	 14427
iobj	 0.0107962490877 	 0.0319224123289 	 14427
mark	 0.0294953715421 	 0.0433452924754 	 14427
nmod	 0.115829460507 	 0.101371455078 	 14427
nsubj	 0.107677065132 	 0.0834188581486 	 14427
nsubj:pass	 0.00410867300897 	 0.02330497303 	 14427
nummod	 0.0132569940928 	 0.0412304711529 	 14427
nummod:gov	 0.00511501986859 	 0.0211550398881 	 14427
obj	 0.0447656683903 	 0.0608697351158 	 14427
obl	 0.111434303868 	 0.0804466319044 	 14427
orphan	 0.00021663385093 	 0.0044215364739 	 14427
parataxis	 0.0206671329201 	 0.0450800126664 	 14427
xcomp	 0.0169257069624 	 0.0384006764667 	 14427
