Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0312510166503 	 0.173995375251 	 153691
Non-projective arcs 	 0.00840499773498 	 0.0578444767609 	 153691
Average out-degree 	 0.918781598721 	 0.060101460214 	 153691
Max out-degree 	 3.63463703145 	 1.34763369635 	 153691
Number of communities 	 4.00031231497 	 1.76269435928 	 153691
Average community size 	 4.40147328286 	 1.49518529573 	 153691
Average path length 	 2.54209760101 	 0.802189894078 	 153691
Density 	 0.0812184012789 	 0.060101460214 	 153691
Diameter 	 5.90765236741 	 2.63297331746 	 153691
MHD 	 3.69244917014 	 1.16404073286 	 153691
MDD 	 1.14957100786 	 0.631545138628 	 153691
acl	 0.0116397578269 	 0.0284449625067 	 153691
acl:relcl	 0.00543564782259 	 0.0186245243064 	 153691
advcl	 0.00927179014328 	 0.0266467201898 	 153691
advmod	 0.0565483829633 	 0.0915662713135 	 153691
amod	 0.121840784075 	 0.110652946812 	 153691
appos	 0.00977293044347 	 0.042918884591 	 153691
aux	 0.00164278350573 	 0.0137808596853 	 153691
aux:pass	 0.0029318571933 	 0.0161663331989 	 153691
case	 0.1160402425 	 0.0871600951863 	 153691
cc	 0.0442263389548 	 0.0654001369686 	 153691
ccomp	 0.00425186332983 	 0.0186401397768 	 153691
compound	 0.00116635167836 	 0.0111481528901 	 153691
conj	 0.0625509546126 	 0.0848854765522 	 153691
cop	 0.00480374572836 	 0.0253128491839 	 153691
csubj	 0.00710343369825 	 0.03011935076 	 153691
csubj:pass	 0.000131487163995 	 0.00351676808854 	 153691
det	 0.0230020738206 	 0.0497577800581 	 153691
discourse	 0.0149787550938 	 0.0492194722237 	 153691
fixed	 0.00925212763862 	 0.0322965768593 	 153691
flat	 0.000855857740578 	 0.0133701959788 	 153691
flat:foreign	 0.00459525343241 	 0.0422121183311 	 153691
flat:name	 0.00805664079145 	 0.0481829936989 	 153691
iobj	 0.00860227758266 	 0.0327095566709 	 153691
mark	 0.0167430129553 	 0.0390789901858 	 153691
nmod	 0.144291879395 	 0.128520816163 	 153691
nsubj	 0.0815054449968 	 0.0913290967717 	 153691
nsubj:pass	 0.00840924550053 	 0.0315778666748 	 153691
nummod	 0.0341483517914 	 0.11348002045 	 153691
nummod:gov	 0.00523315273534 	 0.0274998495522 	 153691
obj	 0.0343369811325 	 0.0617014580688 	 153691
obl	 0.105720862429 	 0.0900325654154 	 153691
orphan	 0.000899415820126 	 0.0196610477375 	 153691
parataxis	 0.0286661675209 	 0.0627179022912 	 153691
xcomp	 0.0113441479824 	 0.0355533878309 	 153691
