Feature	syntagrus_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0639327981462 	 0.041014243863 	 -10.0393047486 	 1.19499207219e-23
Non-projective arcs 	 0.020268165646099998 	 0.0114074223386 	 -10.9023793234 	 1.35521108571e-27
Average out-degree 	 0.909300951094 	 0.926851339987 	 31.1173041987 	 5.20930146136e-207
Max out-degree 	 3.6389969378500004 	 3.7471461763800002 	 8.06986170603 	 7.56521288651e-16
Number of communities 	 3.6262310684400005 	 4.06667340135 	 26.1117164023 	 7.83905347969e-147
Average community size 	 4.25120970436 	 4.447459014700001 	 13.0600697838 	 9.22102931285e-39
Average path length 	 2.32408993832 	 2.58661389989 	 32.4901086136 	 2.17483708613e-222
Density 	 0.09069904890569999 	 0.07314866001249999 	 -31.117304199 	 5.2093014068e-207
Diameter 	 5.18447405446 	 6.02626527932 	 32.2224124791 	 5.05690743831e-219
MHD 	 3.37170361229 	 3.7589276352199996 	 32.4145347867 	 1.60381213331e-221
MDD 	 1.13731109684 	 1.15156957768 	 2.31071971893 	 0.0208614346862
acl	 0.0111285528923 	 0.013063847355400001 	 5.84894198766 	 5.05779289797e-09
acl:relcl	 0.00647031978489 	 0.0105463894536 	 14.9368841717 	 5.02282452131e-50
advcl	 0.0111689267317 	 0.0170843767161 	 16.1797105728 	 2.52878352798e-58
advmod	 0.07372440139150001 	 0.0603753280749 	 -13.2304429076 	 9.21626786485e-40
amod	 0.10661568268100001 	 0.112742320112 	 5.42875188116 	 5.75664197231e-08
appos	 0.0109943706516 	 0.006800841449479999 	 -10.3252598913 	 6.16572350864e-25
aux	 0.0028066325906300005 	 0.00364603078607 	 4.06473996237 	 4.83473708325e-05
aux:pass	 0.00296782177373 	 0.0036783326607299997 	 3.51204901618 	 0.000446070871576
case	 0.11428025584799999 	 0.10879948456800001 	 -6.07700864106 	 1.25199522029e-09
cc	 0.0458432595663 	 0.040804014881 	 -7.50927583047 	 6.22919214658e-14
ccomp	 0.00667769467759 	 0.00865766834197 	 6.90730362177 	 5.15852237773e-12
compound	 0.00121341327157 	 0.000628736253197 	 -6.02367021138 	 1.73036281667e-09
conj	 0.052034146067000006 	 0.048057276411699996 	 -5.46113923608 	 4.79695664526e-08
cop	 0.00741281153625 	 0.007229759883869999 	 -0.583405331621 	 0.55962851003
csubj	 0.00857182343278 	 0.00593058716576 	 -8.63764909749 	 6.18733935607e-18
csubj:pass	 0.00016254424937600003 	 6.42272000026e-05 	 -3.31740658843 	 0.000909586964868
det	 0.026966166644599998 	 0.0298942018956 	 4.76223462645 	 1.9331238982e-06
discourse	 0.0198319951075 	 0.012106225714499999 	 -16.3992923058 	 4.55240945661e-60
fixed	 0.0100992566147 	 0.0124265165894 	 5.40579546979 	 6.55931587169e-08
flat	 0.00091278996904 	 0.0005912637054 	 -2.94596749358 	 0.00322282663967
flat:foreign	 0.0023194179148099997 	 0.0056336481066399996 	 6.66778175654 	 2.72057992538e-11
flat:name	 0.005521671766020001 	 0.0033288813551599996 	 -8.52170446162 	 1.69863094519e-17
iobj	 0.0105812993965 	 0.009526750758059999 	 -2.85178545852 	 0.00435279916256
mark	 0.021684752640400002 	 0.031751996015 	 19.302753988 	 5.90821056717e-82
nmod	 0.10784658292000002 	 0.124946705848 	 13.8421596786 	 2.62592422064e-43
nsubj	 0.11024031127900001 	 0.10500572649 	 -5.29037956702 	 1.23506243998e-07
nsubj:pass	 0.00698433180942 	 0.005678934879899999 	 -4.4563040767 	 8.38722264927e-06
nummod	 0.0125213950486 	 0.0149935919912 	 5.05767352065 	 4.29698243143e-07
nummod:gov	 0.00598322049524 	 0.00508971081542 	 -3.32331019095 	 0.000891330398621
obj	 0.0428991409606 	 0.0488016375083 	 7.54703289993 	 4.71493384062e-14
obl	 0.109593938663 	 0.10457107673800001 	 -5.4868443636 	 4.15396314904e-08
orphan	 0.00232549375986 	 0.00020389612143400002 	 -13.798959731 	 3.02842101038e-43
parataxis	 0.0280034709503 	 0.018865457205199998 	 -17.3172961804 	 1.03045958909e-66
xcomp	 0.013591416688000001 	 0.018474556949700002 	 10.8461563336 	 2.65712049166e-27
