Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0640280561122 	 0.244802908771 	 9980
Non-projective arcs 	 0.0204917255603 	 0.107239531607 	 9980
Average out-degree 	 0.925643910374 	 0.0509016950988 	 9980
Max out-degree 	 3.80460921844 	 1.24563317297 	 9980
Number of communities 	 4.03627254509 	 1.51865056314 	 9980
Average community size 	 4.44120963622 	 1.34413352373 	 9980
Average path length 	 2.55649937615 	 0.731807329413 	 9980
Density 	 0.0743445533957 	 0.0509048118399 	 9980
Diameter 	 5.96082164329 	 2.37643915394 	 9980
acl	 0.00173864228266 	 0.0116703786477 	 9980
acl:relcl	 0.00986978887845 	 0.0234112124875 	 9980
advcl	 0.0235865120906 	 0.0367982731733 	 9980
advmod	 0.0797057324098 	 0.0873278173629 	 9980
amod	 0.138255176488 	 0.0939535283343 	 9980
appos	 0.0049937428953 	 0.0214233344994 	 9980
aux	 0.00334137863006 	 0.0167529471592 	 9980
aux:pass	 0.00330912992584 	 0.0156940032094 	 9980
case	 0.100581651274 	 0.0699152710226 	 9980
cc	 0.0456313087439 	 0.0536864700234 	 9980
ccomp	 0.000784470383314 	 0.00831414202665 	 9980
clf	 0.0 	 0.0 	 9980
compound	 0.000436408831859 	 0.00612791738255 	 9980
conj	 0.0447966605587 	 0.0574084501944 	 9980
cop	 0.00837884128 	 0.0270182971821 	 9980
csubj	 0.0 	 0.0 	 9980
dep	 0.0060684146014 	 0.0216624668771 	 9980
det	 0.0 	 0.0 	 9980
discourse	 0.000510221841617 	 0.00624892537512 	 9980
dislocated	 0.0 	 0.0 	 9980
expl	 0.0 	 0.0 	 9980
fixed	 0.011209019663 	 0.0330677093644 	 9980
flat	 1.54258621192e-05 	 0.00095726549529 	 9980
flat:foreign	 0.00537552552523 	 0.0454207056233 	 9980
flat:name	 0.00298090331215 	 0.0180695467246 	 9980
goeswith	 0.0 	 0.0 	 9980
iobj	 0.000402173964938 	 0.0078792069663 	 9980
list	 0.0 	 0.0 	 9980
mark	 0.0203012492695 	 0.0345747970848 	 9980
nmod	 0.124871734738 	 0.100289262883 	 9980
nsubj	 0.098339364416 	 0.0649157977805 	 9980
nsubj:pass	 0.00527130850484 	 0.0217111372551 	 9980
nummod	 0.0138728989037 	 0.0391747661763 	 9980
nummod:entity	 1.27238604193e-05 	 0.00090571802145 	 9980
nummod:gov	 0.0045925363077 	 0.0197060139181 	 9980
obj	 0.0444978075333 	 0.0575329304992 	 9980
obl	 0.0787072207877 	 0.0652469479969 	 9980
obl:agent	 0.00138504396658 	 0.00929127927077 	 9980
orphan	 0.000353365354118 	 0.00860052140139 	 9980
parataxis	 0.0187461714262 	 0.0388218403986 	 9980
reparandum	 0.0 	 0.0 	 9980
root	 0.0842163208153 	 0.0718570852825 	 9980
vocative	 0.0 	 0.0 	 9980
xcomp	 0.0128611246736 	 0.0313166753388 	 9980
