Feature	prof_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0737801090482 	 0.0640280561122 	 -2.97832616559 	 0.00290138793023
Non-projective arcs 	 0.023738406735400005 	 0.0204917255603 	 -2.2373871134 	 0.0252707379305
Average out-degree 	 0.93067501052 	 0.9256439103740001 	 -7.7981574302 	 6.5804782624e-15
Max out-degree 	 3.96473186555 	 3.8046092184400004 	 -9.89967935572 	 4.68130288128e-23
Number of communities 	 4.23141693699 	 4.03627254509 	 -9.70591761903 	 3.15242361327e-22
Average community size 	 4.5330741870699995 	 4.44120963622 	 -5.20620737492 	 1.94491433542e-07
Average path length 	 2.5841633544900002 	 2.55649937615 	 -2.93350537389 	 0.00335518021841
Density 	 0.0693215385857 	 0.0743445533957 	 7.78533197877 	 7.28150888166e-15
Diameter 	 6.09752225826 	 5.96082164329 	 -4.44347138277 	 8.89654421643e-06
acl	 0.0019948996444 	 0.00173864228266 	 -1.70219123607 	 0.0887342139367
acl:relcl	 0.00871921829022 	 0.00986978887845 	 3.95374245558 	 7.72065526689e-05
advcl	 0.022779815885000002 	 0.023586512090599997 	 1.71758526243 	 0.0858871943154
advmod	 0.08319723208169999 	 0.0797057324098 	 -3.0905956333 	 0.00200013516234
amod	 0.13631982677100002 	 0.138255176488 	 1.60436520861 	 0.108648619176
appos	 0.00617742897025 	 0.0049937428953 	 -4.11571484045 	 3.87360363083e-05
aux	 0.0029089900421500003 	 0.00334137863006 	 2.03300794553 	 0.042064533118
aux:pass	 0.00215411413502 	 0.0033091299258399998 	 6.18295231488 	 6.42812229839e-10
case	 0.106435171125 	 0.100581651274 	 -6.45089095056 	 1.13576227256e-10
cc	 0.04629912252619999 	 0.045631308743900006 	 -0.964788099828 	 0.334661993113
ccomp	 0.000781942731864 	 0.0007844703833139999 	 0.0241071764628 	 0.980767355773
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.000297133002295 	 0.00043640883185900003 	 1.95642438451 	 0.0504318070877
conj	 0.045805676225300004 	 0.04479666055869999 	 -1.36921770996 	 0.17094588635
cop	 0.00805308538953 	 0.00837884128 	 0.92481990326 	 0.355069963391
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.004787986414630001 	 0.0060684146013999995 	 4.87473169325 	 1.09851184349e-06
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00046773923532199995 	 0.000510221841617 	 0.548216853288 	 0.583549243014
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 7.356556510930001e-06 	 0.0 	 nan 	 nan
fixed	 0.0100427227362 	 0.011209019663 	 2.81947781951 	 0.00481491552433
flat	 1.12277514581e-05 	 1.54258621192e-05 	 0.353318756236 	 0.723853270983
flat:foreign	 0.0102681005436 	 0.005375525525229999 	 -8.53435895406 	 1.50670849787e-17
flat:name	 0.0039628223995800006 	 0.0029809033121500003 	 -4.27448354728 	 1.92440801589e-05
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00022413454087800001 	 0.000402173964938 	 2.08619318328 	 0.0369799768986
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.0198552692797 	 0.0203012492695 	 1.00918943043 	 0.312895519574
nmod	 0.11728309384400001 	 0.12487173473799999 	 6.00800728792 	 1.91025369887e-09
nsubj	 0.10156484772800001 	 0.09833936441600001 	 -3.85773561369 	 0.000114782418375
nsubj:pass	 0.00369568328232 	 0.00527130850484 	 5.96984064448 	 2.41754429707e-09
nummod	 0.012264003338899999 	 0.013872898903700002 	 3.30531969783 	 0.000950373785441
nummod:entity	 1.27102403577e-05 	 1.27238604193e-05 	 0.00120025259791 	 0.99904234915
nummod:gov	 0.00470956350516 	 0.0045925363076999995 	 -0.463367333667 	 0.643105908466
obj	 0.0416500354835 	 0.04449780753330001 	 3.93885231839 	 8.21476348851e-05
obl	 0.08493392954420001 	 0.0787072207877 	 -7.33698169464 	 2.26238188605e-13
obl:agent	 0.0012762501598599998 	 0.00138504396658 	 0.917788879619 	 0.358740068711
orphan	 0.000286042752207 	 0.000353365354118 	 0.669318016307 	 0.503301709794
parataxis	 0.0200466467798 	 0.0187461714262 	 -2.56751421445 	 0.0102497406729
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0778407685216 	 0.0842163208153 	 7.02654298312 	 2.18396061855e-12
vocative	 0.0 	 0.0 	 nan 	 nan
xcomp	 0.012885408541899998 	 0.012861124673600002 	 -0.0599630470249 	 0.952185629863
