Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0737801090482 	 0.261412709249 	 14489
Non-projective arcs 	 0.0237384067354 	 0.117530090614 	 14489
Average out-degree 	 0.93067501052 	 0.0476369325607 	 14489
Max out-degree 	 3.96473186555 	 1.2401305589 	 14489
Number of communities 	 4.23141693699 	 1.58389861861 	 14489
Average community size 	 4.53307418707 	 1.37412760939 	 14489
Average path length 	 2.58416335449 	 0.714861092274 	 14489
Density 	 0.0693215385857 	 0.0476368662888 	 14489
Diameter 	 6.09752225826 	 2.34820335867 	 14489
acl	 0.0019948996444 	 0.0114300439678 	 14489
acl:relcl	 0.00871921829022 	 0.0207677315523 	 14489
advcl	 0.022779815885 	 0.0350742758301 	 14489
advmod	 0.0831972320817 	 0.0861399027911 	 14489
amod	 0.136319826771 	 0.0909309588764 	 14489
appos	 0.00617742897025 	 0.0230680318479 	 14489
aux	 0.00290899004215 	 0.0157460606646 	 14489
aux:pass	 0.00215411413502 	 0.0121670117456 	 14489
case	 0.106435171125 	 0.0695210354563 	 14489
cc	 0.0462991225262 	 0.0525125579684 	 14489
ccomp	 0.000781942731864 	 0.00767665610002 	 14489
clf	 0.0 	 0.0 	 14489
compound	 0.000297133002295 	 0.00434869362984 	 14489
conj	 0.0458056762253 	 0.0555310503077 	 14489
cop	 0.00805308538953 	 0.0271636649114 	 14489
csubj	 0.0 	 0.0 	 14489
dep	 0.00478798641463 	 0.0178429764508 	 14489
det	 0.0 	 0.0 	 14489
discourse	 0.000467739235322 	 0.00550597620846 	 14489
dislocated	 0.0 	 0.0 	 14489
expl	 7.35655651093e-06 	 0.000718723744349 	 14489
fixed	 0.0100427227362 	 0.0298619422325 	 14489
flat	 1.12277514581e-05 	 0.000845690219603 	 14489
flat:foreign	 0.0102681005436 	 0.0420318351362 	 14489
flat:name	 0.00396282239958 	 0.0170456159218 	 14489
goeswith	 0.0 	 0.0 	 14489
iobj	 0.000224134540878 	 0.00392375046203 	 14489
list	 0.0 	 0.0 	 14489
mark	 0.0198552692797 	 0.0330769039213 	 14489
nmod	 0.117283093844 	 0.0922684679099 	 14489
nsubj	 0.101564847728 	 0.0633319046288 	 14489
nsubj:pass	 0.00369568328232 	 0.0180265032515 	 14489
nummod	 0.0122640033389 	 0.0347119483218 	 14489
nummod:entity	 1.27102403577e-05 	 0.000821455746813 	 14489
nummod:gov	 0.00470956350516 	 0.0189846077877 	 14489
obj	 0.0416500354835 	 0.0526136727266 	 14489
obl	 0.0849339295442 	 0.0652312123736 	 14489
obl:agent	 0.00127625015986 	 0.00884653069343 	 14489
orphan	 0.000286042752207 	 0.00626086950777 	 14489
parataxis	 0.0200466467798 	 0.039104274683 	 14489
reparandum	 0.0 	 0.0 	 14489
root	 0.0778407685216 	 0.0665757437389 	 14489
vocative	 0.0 	 0.0 	 14489
xcomp	 0.0128854085419 	 0.0308625450274 	 14489
