Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0515448149281 	 0.22110618938 	 156912
Non-projective arcs 	 0.0175434746232 	 0.0973677866307 	 156912
Average out-degree 	 0.916329994456 	 0.0649136824457 	 156912
Max out-degree 	 3.63381385745 	 1.37656700487 	 156912
Number of communities 	 3.95749209748 	 1.73804983365 	 156912
Average community size 	 4.37207859013 	 1.46983784375 	 156912
Average path length 	 2.51754865795 	 0.794813361119 	 156912
Density 	 0.0836308467966 	 0.064870709901 	 156912
Diameter 	 5.835245233 	 2.59760858414 	 156912
acl	 0.00144568128079 	 0.0119233079641 	 156912
acl:relcl	 0.00502212867693 	 0.0169328421237 	 156912
advcl	 0.0120450411319 	 0.0282265735645 	 156912
advmod	 0.074387857487 	 0.0914847693038 	 156912
amod	 0.142476263053 	 0.102515821594 	 156912
appos	 0.00714894279289 	 0.0295748484482 	 156912
aux	 0.0014488577655 	 0.0115288873702 	 156912
aux:pass	 0.0026772597415 	 0.0142691480104 	 156912
case	 0.106007390947 	 0.0754884687244 	 156912
cc	 0.0446802349877 	 0.056944037542 	 156912
ccomp	 0.000419372897214 	 0.00593895694589 	 156912
clf	 0.0 	 0.0 	 156912
compound	 0.00107444227132 	 0.00970442825895 	 156912
conj	 0.0574743982882 	 0.0753421993061 	 156912
cop	 0.00582466931696 	 0.025188982484 	 156912
csubj	 0.0 	 0.0 	 156912
dep	 0.00357410114029 	 0.0163138213521 	 156912
det	 0.0 	 0.0 	 156912
discourse	 0.000450753390963 	 0.00558339140738 	 156912
dislocated	 0.0 	 0.0 	 156912
expl	 3.07641495808e-06 	 0.000608977037319 	 156912
fixed	 0.0082464861673 	 0.0279746901415 	 156912
flat	 2.90006683014e-06 	 0.000412175084757 	 156912
flat:foreign	 0.00580783694064 	 0.0470974176498 	 156912
flat:name	 0.00737076994882 	 0.0397619029877 	 156912
goeswith	 0.0 	 0.0 	 156912
iobj	 0.000393748606529 	 0.00695968118279 	 156912
list	 0.0 	 0.0 	 156912
mark	 0.00974337318792 	 0.0254219452134 	 156912
nmod	 0.142385011599 	 0.116339804648 	 156912
nsubj	 0.0757617577932 	 0.0683483074214 	 156912
nsubj:pass	 0.00781899412858 	 0.0268890874933 	 156912
nummod	 0.027359413591 	 0.0743410196956 	 156912
nummod:entity	 3.85313139932e-05 	 0.00204038769212 	 156912
nummod:gov	 0.00450370685934 	 0.0215993098525 	 156912
obj	 0.0311416126641 	 0.0511008650398 	 156912
obl	 0.0768696227658 	 0.0702527472954 	 156912
obl:agent	 0.00182179086251 	 0.0117255886185 	 156912
orphan	 0.00118076182058 	 0.0156828778148 	 156912
parataxis	 0.0274875197617 	 0.0517507648475 	 156912
reparandum	 0.0 	 0.0 	 156912
root	 0.0981033108372 	 0.0981251778369 	 156912
vocative	 0.0 	 0.0 	 156912
xcomp	 0.00780237950062 	 0.0263830995981 	 156912
