Feature	syntagrus_stats.tsv	rnc_media_stats.tsv	t-value	p-value
Non-projective sentences 	 0.09250846617660001 	 0.051544814928099994 	 -28.6446665788 	 2.2934784564e-179
Non-projective arcs 	 0.0377713255415 	 0.017543474623200002 	 -26.8583188943 	 5.7485335692e-158
Average out-degree 	 0.908483060564 	 0.916329994456 	 22.9994948127 	 1.13474243806e-116
Max out-degree 	 3.6969315272199994 	 3.63381385745 	 -8.8334226979 	 1.03502184534e-18
Number of communities 	 3.61604856694 	 3.9574920974800003 	 41.5277974947 	 0.0
Average community size 	 4.2556560652 	 4.37207859013 	 15.9660352807 	 2.67071855511e-57
Average path length 	 2.31604179729 	 2.51754865795 	 59.441362139 	 0.0
Density 	 0.09150952316439999 	 0.0836308467966 	 -23.095571228 	 1.25321959129e-117
Diameter 	 5.17987527876 	 5.835245232999999 	 58.551284112 	 0.0
acl	 0.00227337002475 	 0.0014456812807899999 	 -11.1998484133 	 4.32838914974e-29
acl:relcl	 0.006012104599489999 	 0.00502212867693 	 -10.2416070396 	 1.3408683092e-24
advcl	 0.0159759019442 	 0.012045041131899999 	 -23.7787446823 	 1.6814843602e-124
advmod	 0.0927325831853 	 0.074387857487 	 -35.2369675613 	 9.65349115219e-270
amod	 0.125455372411 	 0.14247626305299999 	 31.9957071725 	 3.14723000672e-223
appos	 0.009091597915389998 	 0.007148942792890001 	 -10.6398661821 	 2.0380874549e-26
aux	 0.0025386096812 	 0.0014488577655000002 	 -14.0022452583 	 1.75328114113e-44
aux:pass	 0.00268797377262 	 0.0026772597415000003 	 -0.13668878702 	 0.891277154361
case	 0.103558533828 	 0.106007390947 	 6.01980990632 	 1.75402675216e-09
cc	 0.047271646505899996 	 0.0446802349877 	 -7.94873978074 	 1.91081275478e-15
ccomp	 0.00101112433129 	 0.000419372897214 	 -12.6548849132 	 1.17136726166e-36
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.0008812075615760002 	 0.00107444227132 	 4.03292606783 	 5.51343864122e-05
conj	 0.0469103283711 	 0.057474398288199995 	 29.0459512701 	 1.30002368183e-184
cop	 0.009559662381559999 	 0.00582466931696 	 -22.287800605 	 1.24301204157e-109
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.00414451003359 	 0.0035741011402899998 	 -5.99916742979 	 1.99272233348e-09
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00048447531245 	 0.00045075339096300006 	 -1.08485344457 	 0.277990048783
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 5.001294660600001e-05 	 3.07641495808e-06 	 -4.06898555928 	 4.72904184142e-05
fixed	 0.009177038731270001 	 0.0082464861673 	 -5.78145267444 	 7.43589837986e-09
flat	 0.00010873990450799998 	 2.9000668301400003e-06 	 -6.565204203 	 5.24807896825e-11
flat:foreign	 0.00205670065654 	 0.00580783694064 	 24.7812116577 	 2.39204430757e-135
flat:name	 0.00493517484364 	 0.007370769948819999 	 16.7985299401 	 2.88167669974e-63
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00209917167319 	 0.000393748606529 	 -21.7807663141 	 1.00601024808e-104
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.012922372564299999 	 0.00974337318792 	 -21.4444328951 	 1.07099202067e-101
nmod	 0.109055552337 	 0.142385011599 	 59.7902869338 	 0.0
nsubj	 0.10172689892799999 	 0.07576175779319999 	 -66.4929756295 	 0.0
nsubj:pass	 0.0062803651878699995 	 0.00781899412858 	 11.0947028437 	 1.39551596227e-28
nummod	 0.011209622628699999 	 0.027359413591 	 65.0865778693 	 0.0
nummod:entity	 5.83544170196e-05 	 3.85313139932e-05 	 -1.78756084327 	 0.073850822193
nummod:gov	 0.00528835971197 	 0.00450370685934 	 -6.35909036909 	 2.04139946948e-10
obj	 0.0381337110933 	 0.031141612664099996 	 -23.82008202 	 6.21040561189e-125
obl	 0.07973578005760001 	 0.0768696227658 	 -7.57598799126 	 3.60335296518e-14
obl:agent	 0.0018836510556199998 	 0.00182179086251 	 -0.979921121597 	 0.327128108335
orphan	 0.00246889918072 	 0.00118076182058 	 -11.1620267709 	 6.66593187117e-29
parataxis	 0.0245460687457 	 0.0274875197617 	 11.116859138 	 1.08888405285e-28
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.10779984355000001 	 0.0981033108372 	 -18.8718948297 	 2.89072992116e-79
vocative	 3.16476636083e-05 	 0.0 	 nan 	 nan
xcomp	 0.009843032264 	 0.007802379500619999 	 -13.1864552647 	 1.16785901065e-39
