Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0925084661766 	 0.28974238534 	 48428
Non-projective arcs 	 0.0377713255415 	 0.156661224506 	 48428
Average out-degree 	 0.908483060564 	 0.0658532219846 	 48428
Max out-degree 	 3.69693152722 	 1.37393090529 	 48428
Number of communities 	 3.61604856694 	 1.5302004182 	 48428
Average community size 	 4.2556560652 	 1.38138341509 	 48428
Average path length 	 2.31604179729 	 0.60130829668 	 48428
Density 	 0.0915095231644 	 0.0658550291999 	 48428
Diameter 	 5.17987527876 	 1.99619747986 	 48428
acl	 0.00227337002475 	 0.0148529973818 	 48428
acl:relcl	 0.00601210459949 	 0.0190787687893 	 48428
advcl	 0.0159759019442 	 0.0328254449544 	 48428
advmod	 0.0927325831853 	 0.102677177306 	 48428
amod	 0.125455372411 	 0.102280961186 	 48428
appos	 0.00909159791539 	 0.0366669511292 	 48428
aux	 0.0025386096812 	 0.0158842103616 	 48428
aux:pass	 0.00268797377262 	 0.0153197236206 	 48428
case	 0.103558533828 	 0.0790911980942 	 48428
cc	 0.0472716465059 	 0.0643928888552 	 48428
ccomp	 0.00101112433129 	 0.00974705713675 	 48428
clf	 0.0 	 0.0 	 48428
compound	 0.000881207561576 	 0.00906169061068 	 48428
conj	 0.0469103283711 	 0.0682208382678 	 48428
cop	 0.00955966238156 	 0.0341201801812 	 48428
csubj	 0.0 	 0.0 	 48428
dep	 0.00414451003359 	 0.0188592691021 	 48428
det	 0.0 	 0.0 	 48428
discourse	 0.00048447531245 	 0.00609683825593 	 48428
dislocated	 0.0 	 0.0 	 48428
expl	 5.0012946606e-05 	 0.0025158308681 	 48428
fixed	 0.00917703873127 	 0.0318287218668 	 48428
flat	 0.000108739904508 	 0.003540321455 	 48428
flat:foreign	 0.00205670065654 	 0.0206162800226 	 48428
flat:name	 0.00493517484364 	 0.02302366412 	 48428
goeswith	 0.0 	 0.0 	 48428
iobj	 0.00209917167319 	 0.016791476852 	 48428
list	 0.0 	 0.0 	 48428
mark	 0.0129223725643 	 0.0294074883455 	 48428
nmod	 0.109055552337 	 0.104264747942 	 48428
nsubj	 0.101726898928 	 0.077089687995 	 48428
nsubj:pass	 0.00628036518787 	 0.0266128779462 	 48428
nummod	 0.0112096226287 	 0.0357198472207 	 48428
nummod:entity	 5.83544170196e-05 	 0.00216115926786 	 48428
nummod:gov	 0.00528835971197 	 0.0243586458006 	 48428
obj	 0.0381337110933 	 0.0580245383109 	 48428
obl	 0.0797357800576 	 0.073539905605 	 48428
obl:agent	 0.00188365105562 	 0.0122701802169 	 48428
orphan	 0.00246889918072 	 0.0238548567398 	 48428
parataxis	 0.0245460687457 	 0.0506347412877 	 48428
reparandum	 0.0 	 0.0 	 48428
root	 0.10779984355 	 0.09906188988 	 48428
vocative	 3.16476636083e-05 	 0.00288053363052 	 48428
xcomp	 0.009843032264 	 0.0307401932773 	 48428
